07-10-2023 11:10:01 0    [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-10-2023 11:10:01 18   [main] INFO  reusableComponents.Log:  $$$$$$$$$$$$$$$$$$$$$ Starting Test : login with invalid password       $$$$$$$$$$$$$$$$$$$$$$$$$ 
07-10-2023 11:10:01 18   [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-10-2023 11:10:07 5385 [main] INFO  reusableComponents.Log:  clicked on account link 
07-10-2023 11:10:14 12374 [main] INFO  reusableComponents.Log:  Click on login link 
07-10-2023 11:10:14 12374 [main] INFO  reusableComponents.Log:  this is a test log 
07-10-2023 11:10:14 12699 [main] INFO  reusableComponents.Log:  Enter email is :lucky1987.mayank@gmail.com 
07-10-2023 11:10:15 13776 [main] INFO  reusableComponents.Log:  enter password :User123 
07-10-2023 11:10:17 15876 [main] INFO  reusableComponents.Log:  Click on login button 
07-10-2023 11:10:17 15879 [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-10-2023 11:10:17 15880 [main] INFO  reusableComponents.Log:  $$$$$$$$$$$$$$$$$$$$$ Ending Test :   login with invalid password       $$$$$$$$$$$$$$$$$$$$$$$$$ 
07-10-2023 11:10:17 15880 [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-10-2023 11:10:17 15880 [main] INFO  reusableComponents.Log:  XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX 
07-10-2023 11:10:50 48693 [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-10-2023 11:10:50 48694 [main] INFO  reusableComponents.Log:  $$$$$$$$$$$$$$$$$$$$$ Starting Test : login with valid password       $$$$$$$$$$$$$$$$$$$$$$$$$ 
07-10-2023 11:10:50 48695 [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-10-2023 11:10:55 54080 [main] INFO  reusableComponents.Log:  clicked on account link 
07-11-2023 11:11:09 67336 [main] INFO  reusableComponents.Log:  Click on login link 
07-11-2023 11:11:10 68370 [main] INFO  reusableComponents.Log:  Enter email is :lucky1987.mayank@gmail.com 
07-11-2023 11:11:10 68587 [main] INFO  reusableComponents.Log:  enter password :User@123 
07-11-2023 11:11:13 71709 [main] INFO  reusableComponents.Log:  Click on login button 
07-11-2023 11:11:14 72645 [main] INFO  reusableComponents.Log:  login done... 
07-11-2023 11:11:14 72655 [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-11-2023 11:11:14 72656 [main] INFO  reusableComponents.Log:  $$$$$$$$$$$$$$$$$$$$$ Ending Test :   login with valid password       $$$$$$$$$$$$$$$$$$$$$$$$$ 
07-11-2023 11:11:14 72656 [main] INFO  reusableComponents.Log:  **************************************************************************************** 
07-11-2023 11:11:14 72656 [main] INFO  reusableComponents.Log:  XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX 
07-11-2023 11:11:16 74881 [main] DEBUG freemarker.cache:  Couldn't find template in cache for "spark/spark.spa.ftl"("en_US", UTF-8, parsed); will try to load it. 
07-11-2023 11:11:16 74904 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("spark/spark.spa_en_US.ftl"): Not found 
07-11-2023 11:11:16 74937 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("spark/spark.spa_en.ftl"): Not found 
07-11-2023 11:11:16 74950 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("spark/spark.spa.ftl"): Found 
07-11-2023 11:11:16 74951 [main] DEBUG freemarker.cache:  Loading template for "spark/spark.spa.ftl"("en_US", UTF-8, parsed) from "jar:file:/C:/Users/Sony/.m2/repository/com/aventstack/extentreports/5.0.8/extentreports-5.0.8.jar!/com/aventstack/extentreports/templates/spark/spark.spa.ftl" 
07-11-2023 11:11:17 75611 [main] DEBUG freemarker.cache:  Couldn't find template in cache for "commons/commons-variables.ftl"("en_US", UTF-8, parsed); will try to load it. 
07-11-2023 11:11:17 75616 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("commons/commons-variables_en_US.ftl"): Not found 
07-11-2023 11:11:17 75618 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("commons/commons-variables_en.ftl"): Not found 
07-11-2023 11:11:17 75620 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("commons/commons-variables.ftl"): Found 
07-11-2023 11:11:17 75621 [main] DEBUG freemarker.cache:  Loading template for "commons/commons-variables.ftl"("en_US", UTF-8, parsed) from "jar:file:/C:/Users/Sony/.m2/repository/com/aventstack/extentreports/5.0.8/extentreports-5.0.8.jar!/com/aventstack/extentreports/templates/commons/commons-variables.ftl" 
07-11-2023 11:11:18 76743 [main] DEBUG freemarker.cache:  Couldn't find template in cache for "commons/commons-macros.ftl"("en_US", UTF-8, parsed); will try to load it. 
07-11-2023 11:11:18 76744 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("commons/commons-macros_en_US.ftl"): Not found 
07-11-2023 11:11:18 76745 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("commons/commons-macros_en.ftl"): Not found 
07-11-2023 11:11:18 76746 [main] DEBUG freemarker.cache:  TemplateLoader.findTemplateSource("commons/commons-macros.ftl"): Found 
07-11-2023 11:11:18 76747 [main] DEBUG freemarker.cache:  Loading template for "commons/commons-macros.ftl"("en_US", UTF-8, parsed) from "jar:file:/C:/Users/Sony/.m2/repository/com/aventstack/extentreports/5.0.8/extentreports-5.0.8.jar!/com/aventstack/extentreports/templates/commons/commons-macros.ftl" 
07-11-2023 11:11:18 76794 [main] DEBUG freemarker.cache:  Couldn't find template in cache for "spark/macros/attributes.ftl"("en_US", UTF-8, parsed); will try to load it. 
